duplicate_group_id,referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number,decision
17,rbw02206,4.3471153,50.8462619,Rent,1400,Appartment,Flat,49251,1000,,,30.0,,,,,,,Brussels,Boulevard Anspach Brussels,,,,,,False,,604,
18,vbe34617,4.3515499,50.8427501,Rent,1350,Appartment,Flat,33267,1000,1960.0,Normal,89.0,2.0,,True,,,Immediately,Brussels,,,,,,,,,349,
18,vbe36009,4.3515499,50.8427501,Rent,1350,Appartment,Flat,27214,1000,2013.0,Excellent,89.0,2.0,1.0,True,7.0,True,Immediately,Brussels,,,1.0,,9162.0,,,,164,
19,vbe36721,4.3522809,50.8527753,Rent,810,Appartment,Flat,46472,1000,,,,,,,,False,From 16/09/2026,Brussels,Rue aux Fleurs Brussels,,,,,,False,,47,
19,vbe29945,4.3522809,50.8527753,Rent,810,Appartment,Flat,46472,1000,,,,,,,,True,From 01/09/2026,Brussels,Rue aux Fleurs Brussels,,,,,,False,,937,
20,vbe30043,4.3545209,50.8523006,Rent,870,Appartment,Flat,46472,1000,,,,,,,,False,From 01/09/2026,Brussels,Rue Saint-Michel Brussels,,,,,,False,,910,
20,vbe29943,4.3545209,50.8523006,Rent,870,Appartment,Flat,46472,1000,,,,,,,,False,From 01/09/2026,Brussels,Rue Saint-Michel Brussels,,,,,,False,,923,
21,rbw26129,4.3552866,50.8413118,Rent,2150,Appartment,Flat,49251,1000,,,30.0,,,,,,,Brussels,Rue Sainte-Anne Brussels,,,,,,False,,48,
21,rbw26130,4.3552866,50.8413118,Rent,2150,Appartment,Flat,49251,1000,,,30.0,,,,,,,Brussels,Rue Sainte-Anne Brussels,,,,,,False,,50,
21,rbw26131,4.3552866,50.8413118,Rent,2150,Appartment,Flat,49251,1000,,,30.0,,,,,,,Brussels,Rue Sainte-Anne Brussels,,,,,,False,,61,
22,vbe33075,4.3558039,50.8347235,Rent,1600,Appartment,Flat,38398,1060,,Normal,88.0,2.0,1.0,True,,False,Immediately,Brussels,Rue Jourdan,2.0,,,16.0,,,,509,
22,vbe33074,4.3558039,50.8347235,Rent,1600,Appartment,Flat,38398,1060,,Normal,88.0,2.0,1.0,True,,True,Immediately,Brussels,Rue Jourdan,2.0,,,16.0,,,,502,
23,vbe30514,4.3561862,50.831574,Rent,1350,Appartment,FlatStudio,40457,1060,,Normal,47.0,0.0,1.0,False,,True,Immediately,Brussels,Rue Berckmans,19.0,,,5874.0,,,,857,
23,vbe30512,4.3561862,50.831574,Rent,1350,Appartment,FlatStudio,40457,1060,,Normal,47.0,0.0,1.0,True,,True,Immediately,Brussels,Rue Berckmans,19.0,,,6770.0,,,,875,
24,vbe31706,4.356391,50.861586,Rent,2000,Appartment,Flat,46472,1000,,,,1.0,,,,False,From 02/07/2026,Brussels,Chaussée d'Anvers Brussels,,,,,,False,,725,
24,vbe30643,4.356391,50.861586,Rent,2000,Appartment,Flat,46472,1000,,,,1.0,,,,False,From 02/07/2026,Brussels,Chaussée d'Anvers Brussels,,,,,,False,,824,
25,vbe30054,4.3632385,50.8317357,Rent,810,Appartment,Flat,46472,1050,,,,,,,,False,From 01/09/2026,Brussels,Rue Souveraine Elsene,,,,,,False,,908,
25,vbe30023,4.3632385,50.8317357,Rent,810,Appartment,Flat,46472,1050,,,,,,,,False,From 01/09/2026,Brussels,Rue Souveraine Elsene,,,,,,False,,902,
25,vbe30007,4.3632385,50.8317357,Rent,810,Appartment,Flat,46472,1050,,,,,,,,False,From 01/09/2026,Brussels,Rue Souveraine Elsene,,,,,,False,,912,
25,vbe29996,4.3632385,50.8317357,Rent,810,Appartment,Flat,46472,1050,,,,,,,,False,From 01/09/2026,Brussels,Rue Souveraine Elsene,,,,,,False,,915,
26,vbe32087,4.36911,50.8486,Rent,1349,Appartment,GroundFloor,46612,1000,,Fully renovated,31.0,1.0,,,,True,,Brussels,Boulevard du Régent,55.0,,,,,,,619,
26,vbe35125,4.36911,50.8486,Rent,1349,Appartment,GroundFloor,46612,1000,,Fully renovated,31.0,1.0,,,,True,,Brussels,Boulevard du Régent,55.0,,,,,,,293,
27,vbe33210,4.36996222,50.82631797,Rent,1300,Appartment,Flat,38513,1050,1950.0,Normal,73.0,1.0,1.0,True,8.0,False,Immediately,Brussels,Chaussée de Vleurgat,51.0,1.0,,,,,,489,
27,vbe32423,4.36996222,50.82631797,Rent,1300,Appartment,Flat,38513,1050,1950.0,Normal,73.0,1.0,1.0,True,8.0,False,From 01/08/2026,Brussels,Chaussée de Vleurgat,51.0,1.0,,,,,,598,
28,vbe29358,4.3753045,50.8355303,Rent,1800,Appartment,Flat,27880,1050,,Normal,97.0,3.0,2.0,False,25.0,True,Immediately,Brussels,Rue du Viaduc,141.0,,,,,,,990,
28,vbe29357,4.3753045,50.8355303,Rent,1800,Appartment,Flat,27880,1050,,Normal,97.0,2.0,2.0,False,25.0,True,Immediately,Brussels,Rue du Viaduc,141.0,,,,,,,993,
29,vbe29251,4.3766927,50.8235717,Rent,1100,Appartment,Flat,42512,1050,,,60.0,1.0,,,,,From 01/06/2026,Brussels,,,,,,,,,987,
29,vbe29250,4.3766927,50.8235717,Rent,1100,Appartment,Flat,42512,1050,,,60.0,1.0,,,6.0,,From 01/06/2026,Brussels,,,,,,,,,996,
